additionalRequirments,benefits,company,education,experience,jobContext,jobResposiblities,jobType,joblocation,salary,source,title,vacancies,workplace
Age 45 to 50 years |Both males and females are allowed to apply|Excellent communication and negotiation skills,As per company policy,Young Consultants (YC),"Master of Business Administration (MBA) in HR, Master of Law (LLM)|PGD in HRM|Preferred Professional Certification: PGD in HRM|Training/Trade Course: Fire and safety,,Labor Law,QMS and Certification|Skills Required: General Administration, HR and compliance, Labor Law","At least 18 year(s)|The applicants should have experience in the following area(s):|Corporate HR and Admin, Garments HR and Admin|The applicants should have experience in the following business area(s):|Garments, Group of Companies, Textile",,"Ensure development and implementation of Admin, HR, compliance policies and procedure|to support or companies business objectives in accordance with legal perspective and cost|control in respective of administrative activities.|Should be well knowledgeable about RSC requirements including proper communication.|Process to attract and hire qualified candidates for position vacancies within the company.|Manage annual staff surveys to measure staff morale and organization climate, then develop|and implement effective strategies. Implement effective strategies for developing the|organizational culture. Manage change, particularly to structure in a positive and supportive|manner. Study labor market and wage trends, various relevant Government labor legislation.|Monitor & maintain Leave and Attendance.|Increase employee motivation through creative ideas to increase productivity.|To implement all labor laws and to deal with personnel and labor matters.|To prepare Departmental Budget (monthly, half-yearly, yearly etc.)|Provide day-to-day administration and support services to the employees relating to Safety,|Security, Health, Transport, and Housekeeping & Canteen.|Provide full support to the production team for maximum production.|To support the compliance team, solve technical problems and help them to prepare a|corrective action plan (CAP) based on External, Internal, First party & third party social|compliance audit.|Preparing, organizing and managing factory audits as per buyer's requirements including|various social, ethical, environmental, technical, supply chain security and QMS audits.|Sound Knowledge on Process & Procedure on Certification of WRAP, BSCI, SEDEX, C-|TPAT & ISO.|To ensure all facilities involving health & safety specially fire safety measures and|procedures.|Liaison with BGMEA, compliance, auditors, Fire & Civil Defense, Labour Office, Labour|Court, Police Station etc.|To consult with top Management regarding deciding priorities.",Full-time,Anywhere in Bangladesh,Negotiable,Bdjobs.com Online Job Posting.,"Director, HR/ Admin & Compliance",1,Work at office
,,,,,,At least 5 year(s),Dhaka,,None,,Bangla Job,Not specific,
,,AnH Enterprise Limited,At most 2 year(s)|The applicants should have experience in the following area(s):|Administration,"Age at most 30 years |Gender: Female candidates are highly encouraged to apply|Must have strong personality/leadership quality to ensure smooth administration|Proven work experience as an Administrative Officer, Administrator or similar role|Experience with office management software, like MS Office Packages (Specially MS Excel, MS Word) and others|Strong organization skills with a problem-solving attitude|Excellent written and verbal communication skills","Monitoring and maintaining office equipment, inventory supplies and orders replacement supplies as needed|Preparing training & maintaining schedule|Creating and updating records and personal files of the employees, keeping financial and other data|Coordinating office premises and maintenance issues for general repair and updating|Organizing a filing system for important and confidential company documents|Looking after security personnel and their activities|Preparing reports on daily administration, expenses and other expenditures|Organizing special functions and social events|Answering queries by the employees|Maintaining a company calendar and schedule appointments|Scheduling in-house and external events|Supervising safety, firefighting equipment and scheduled Fire Training & Emergency Evacuation Plan|Coordinating with management and participatory committees|Maintaining health & safety issues in floor/unit/manufacturing plant/work sites|Coordinating and Ensuring compliance in floor/unit/manufacturing plant/work sites|Any other task assigned by the management",,None,,"T/A, Mobile bill",,Admin Executive,Not specific,"Masters degree in any discipline, Bachelor degree in any discipline|MBA, Public Administration, etc. preferred"
Age 22 to 30 years |Only males are allowed to apply,"Mobile bill, Performance bonus|Festival Bonus: 2",Zishan Overseas Tour & Travel,"Bachelor degree in any discipline|Skills Required: Administration, Data Entry","1 to 4 year(s)|The applicants should have experience in the following area(s):|Adobe Photoshop/ Illustrator, Data Entry, MS Word/ Excel/ PowerPoint/ OneNote, Travel Agency|The applicants should have experience in the following business area(s):|Travel Agent|Freshers are also encouraged to apply.",Having good collaboration with colleagues and updating information with administrative responsibility and Should have good communication and management skills.,"Basic computer skills.|Having English language capabilities.|Especially Microsoft Office (Word,Excell), Adobe Illustrator and Adobe Photoshop (latest version) excellent creative knowledge.|Providing recent information to management.|Having a good type of skills in English and Bengali.|Administrative Responsibility.|Travel agencies Admin experience.",Full-time,Dhaka (Motijheel),None,Bdjobs.com Online Job Posting.,Admin For Travel Agency,Not specific,Work at office
,,Bashundhara Group,Age at most 35 years |Strong Analytical and Communication Skills|Computer Literacy in MS Office |Must be Flexible in terms of Roster Duty,,"Assist in managing all HR & admin operations of the factory including compensation, training, HR Information Systems, talent management, performance management, manpower planning etc.|Develop, implement, review and evaluate the organization's HR & Admin Strategy across the factory.|Ensure strict compliance of all HR and Admin related policies and procedures in the factory.|Ensure that the factory employees comply with the necessary health, hygiene & safety regulations and practices.|Conduct regular fire safety inspections of all the facilities and ensure that they meet all necessary codes and regulations. |Respond to fire emergencies and arson crimes, investigate and report the causes of fire and take appropriate responsive actions.|Ensure all policies are complied with Labor Laws and Company Rules & Regulations.|Work closely with various departments/units in a coordinating role, assist line managers to understand and implement related policies and procedures.|Arrange & coordinate meetings, check meeting minutes and ensure the distribution of the meeting minutes to all concerned.",,None,,None,,"Assistant Executive/ Executive (HR & Admin), Factory",Not specific,At least 2 year(s)|Freshers are also encouraged to apply.
,,Borak Polytechnic Institute (Ashulia),"1 to 2 year(s)|The applicants should have experience in the following area(s):|Education, Group of Companies","Age 25 to 40 years |Only males are allowed to apply|Diploma in Engineering with subsequent graduation in Engineering or B.Sc/M.Sc/Master in any discipline. |Preferred Education Institution: Public or Reputed Private  |Proficiency in written and oral English, good technical skills.|Should have a positive attitude, smart, work under pressure, result-oriented, quick learner, ability to work in a team and ability to multitask and manage multiple deliverables.",,"GENERAL:|Ensure administrative support to all staff|Manage office supplies stock and place orders and requisitions as and when required. |Creating, updating, and maintaining records and relevant databases|Organize a filing system for company documents |Answer queries by employees and clients |Schedule appointments |Distribute and store correspondence (e.g. letters, emails and packages) |Prepare reports and presentations with statistical data, as assigned |Arrange travel and accommodations |Coordinating building and maintenance issues for general repair (heating and air conditioning, security, etc.) and updating (carpet cleaning, painting, etc.)|Schedule in-house and external events|Supervise security guards |Assist and comply with group HR & admin and their instructions |Hostel management and provide logistic support to the hostel in charge|Monitoring attendance system and report to payroll monthly  |Assist Head of the Department (HOD) and Coordinator|Report to the Head of the Department (HOD) on daily basis before leaving the campus and update the deliverables assigned by the Head & Coordinator in email as frequent|SAP- SD & MM module maintenance |Maintain liaison with BTEB and carry out all related activities  |Any other duties/work assigned from time to time||ADMISSION:|School visit individually and arrange seminars in groups with a view to collecting data.|Keep good relations with school teachers and motivate them for students supply. |Training to outdoor associates and following up regularly.|Phone counselling to prospective students and generate reports. |Physical counselling to prospective students or visitors and generating reports.|Proactive participation in admission activities. |Assist institution by providing students by own source.",Full-time,,"Mobile bill, Provident fund, Insurance",,Program Development Officer (PDO) cum Admin Officer,1,Work at office
"Age 25 to 35 years |HR policies development and implementation|Core HR knowledge and operations |Must be familiar with Bangladesh labor law, labor rules and factory rules|Pleasant personality with positive attitude|Ability to work under pressure|Positive work ethics and result oriented for assigned responsibilities|Highly computer literate and various HR software (ERP) |Excellent communication & presentation skill.|Should have sound language proficiency in Bangla and English|",As per company policy,Fakir Eco-Knitwears Ltd.,Bachelor/Masters in Human Resource Management,2 to 3 year(s)|The applicants should have experience in the following area(s):|Human Resource Management,,"Ensure that references/ background of selected candidates are checked and educational certificates are verified.|Prepare monthly salary for workers/assigned department and monthly salary sheet|Assist new worker/officer/staff to prepare their mobile account/bank account |Continuous counseling to make the worker fully motivated towards their responsibilities and loyalty to the company.|On time input workers and all staff monthly wages details accurately for salary |Regular monitoring attendance, absenteeism, leaves etc. |Frequently visit in production floor and liaison with floor representative to perform the job accurately. |Preparing daily attendance correction and HR activity report regularly and on time.|Handle disciplinary procedures & grievance issues (as per labor Law) etc.|Ensure Employee performance appraisal.|Ensure personal file update of exit employees.|Ensure lefty employees letter issue.|Prepared and update employee job description.|Monthly lefty worker list & letter issue|Keep all employees personal file up to date|Provide ID card, appointment letter to workers in a timely manner.|Prepare final settlement bill for lefty employees|All Register Follow-up (Attendance, Overtime, Leave, Allowance, Verbal Complain, Letter Issue, Etc.)|Provide counseling on policies & procedures |To perform any other job as assigned by the management.",Full-time,Narayanganj,None,Bdjobs.com Online Job Posting.,"HR Officer, (Department-HRD)",Not specific,Work at office
,,A Reputed Group of Company,Both males and females are allowed to apply|Vast knowledge on Labor Law as well as other applicable rules & regulations.|Proficiency in MS Office applications.|A self starter with drive & initiative.|Analytical & problem solving skill.|Very good in both written & oral English.|A team worker who believes in team commitment.,,"Maintain & proceed all HR related work from recruitment to separation.|Ensure policy and procedures are in place for best HR practices and update from time to time.|To draft and prepare several types of HR Related Letter - Selection, Appointment, Confirmation, Extension, Promotion, Transfer, Warning, Show Cause, Enquiry Notice & Report, Dismissal Letter and so on.|To ensure timely evaluation through Performance Appraisal Form (PAF) of employees as per employment contract.|To deal with all matters relating to disciplinary actions confirming the Bangladesh Labor Law-2006 and other applicable law & rules.|Maintain and update personal files of both existing & separated employees.|Handle HR related issues of Expatriate employees.|Prepare, maintain & update Organogram|To assist in implementing the ISO 9001:2008 requirements in the factories & achieving ISO 9001:2008 certification in the facility.|Assist supervisor and pursue all HR related issues, responsibilities and works.|Arrange and maintain office ethics, etiquette and code of conduct.|Any other tasks as assigned by the superior on HOD.",,None,,None,,Sr. Executive/ Executive - HR,01,At least 1 year(s)
,,Retail Technologies,5 to 7 year(s),"Age 40 to 45 years |Only males are allowed to apply|Plan, coordinate, and participate in recruitment and selection processes and ensure that a fair recruitment policy is followed.|Plan and organize administrative activities, establish procedure, practice and work methods to increase work effectiveness & efficiency.|Ensure HR issues - plan, develop, recruit, train, maintain and lead a team- which also includes policies and procedures.|Monitor & follow up proper management, maintenance of company assets, equipment's vehicle, security and safety factors of the company.|Conduct all the company meetings.|Any other task assigned by the management.","Overall in charge of HR, administration and Compliance.|Must be very conversant on Labor Laws and HR policies.|Advertising, short listing candidates with rating, drafting interview protocols, perform reference check conducting Interview, etc.|Open and maintain personal file of all personnel of the organization.|Inspect the office management services on routine basis to ensure the proper implementation and management of the services.|Formulate and implement HR related plan, policy, procedure and guideline.|Ensure proper staffing levels are in place.|Provide support on development activities of all categories of staff & worker.|Carry out manpower planning to forecast future demand and supply.|Assist in develop, review and revise the Human Resource Management Guidelines defining group policies on employee recruitment, selection, compensation benefits, training & development, termination, grievances, performance appraisal etc.|Coordinates and follow up all administrative works.|Supervise Payroll, Attendance & Leave of Employees.|Maintain disciplinary action procedure as per law.|Ensure and promote all HR mechanism/tools for up gradation of professional or human qualities.|Ensure Collection of identity Card, Company vehicle & other important documents/Materials from the separated employees which is pertinent to the admin jurisdiction.|Handle grievance & report to management.|Conducting training/awareness/counseling in regular basis to monitor the workers.",,None,,"Mobile bill, Provident fund",,Manager - HR & Admin,01,Bachelor degree in any discipline
,,A reputed group of companies,"At least 7 year(s)|The applicants should have experience in the following area(s):|Compensation & Benefits, General HR, Leave Management, Legal Compliance/ Code of Conduct, payroll management|The applicants should have experience in the following business area(s):|Manufacturing (FMCG), Group of Companies","Only males are allowed to apply|Minimum 03 years of experience in a similar position in any large conglomerate or multinational company.|Good command over computer, especially in MS Office / Internet & Email systems |Must be intelligent, hardworking and dedicated with the fitness to work long hours. |Should be dynamic, ability to manage team and have Excellent Leadership Quality with Interpersonal and excellent Communication Skills.|Strong analytical and problem solving skills.",,"MAJOR ACCOUNTABILITIES|Partner with HR and leadership on appropriate total reward packages to recruit and retain talent.|Manage performance management and rewards and recognition programs for the company.|Prepare annual budget for total rewards and manage expenditures related to benefit programs.|Serve as the main resource for employees and managers regarding all benefit related matters.|Support all compensation planning processes in collaboration with HR and Operations.|Supports the development and integration of new and/or existing rewards programs, policies and procedures to ensure that programs are market competitive, internally equitable, and cost effective.|Communicate actively with Accounts, Finance, Operations, HR and other departments to review cross-departmental impacts and reconcile data sharing.|Manage data in accordance with the company's record retention policies and|Maintain confidentiality of work-related issues, records and company information.||OPERATIONAL RESPONSIBILITIES:|Maintain attendance & leave records of all employees.|Maintain salary file of employees including all break- ups.|Maintain tax calculation of all eligible employees in collaboration with TAX Dept.|Calculate amounts of deductions like PF, Launch Bill, Cellular Bill or any other deduction|Prepare audit file of salary provided each month.|Generate & Provide Pay slip(s) required by respective employees.|Preparation and reconciliation of payment summaries submit to management.|Ensure receipt of all supporting documents related to Full & Final Settlement.|Calculate & Prepare WPPF (Workers' Profit Participation Fund) Statement, Yearly Earned Leave statement etc.|Separate Employee who left organization.|Process monthly salary sheet for H/O.|Disburse resignation acceptance & release order to respective employee & other departments.|SUPERVISORY/ PEOPLE MANAGEMENT RESPONSIBILITIES:|Supervises team by communicating job expectations, appraising job results and maintain discipline within the team.|TEAM LEARNING & DEVELOPMENT:| Assess learning & development need of the team.| Guide and motivation the staff under the division in order to ensure close coordination.|STRATEGIC WORK:|To achieve short term and long term total rewards goal of the organization.|Analyse previous date to assess future requirements in each quarter thus create a pool fulfilling the future requirements.",Full-time,,None,,Assistant Manager/ Deputy Manager - Total Rewards,01,Graduation in any Discipline|PGDPM/ PGDHRM/ MBA in HRM from reputed institution will get preference.
,,A Leading Knit Garments Industry,"Age at most 30 years |Excellent interpersonal, communication and negotiation skill.|Team player.|Able to work under pressure with deadline.|Basic computer skill (Microsoft Office Package).|Good communication skills in English & Bengali.",,"Handle Worker Recruitment & Selection Procedure.|Maintain Employee personal Records & Update time to time.|Maintain Daily Attendance & OT Sheet.|Daily wise Absenteeism, Shift correction & through payroll section.|ID Card & Appointment Letter issue of new joiner worker.|Monthly Salary Sheet Check & Correction.|Yearly Earn Leave & Festival Bonus Disbursement.|Maintain all HR related Register.|Maintain Floor Discipline issues.|Ensure all floor housekeeping.|Prepare Monthly Outgoing List & through Payroll Section.|Communicate Medical Section to injured worker leave statement & other compliance related issues.|Lefty Worker & Resign Worker Settlement Bill Check.|Communicate with Civil, Maintenance, Technical, Fire Department to any Kinds of relevant problem issue of the floor.|Any other task given by Management.",,None,,None,,Officer - HR & Admin,03,"At least 2 year(s)|The applicants should have experience in the following area(s):|Compensation/ Benefits/ Attendance/ Leave Management, Factory HR Administration, General HR, HRIS/ HR Database Management, Recruitment & Selection, Training & Development|The applicants should have experience in the following business area(s):|Garments, Garments Accessories, Textile"
,,bZm Graphics,"At least 1 year(s)|The applicants should have experience in the following area(s):|Human Resource, Human Resource Management, Human Resources & Development|Freshers are also encouraged to apply.",Age 22 to 35 years |Only males are allowed to apply|Self-motivated & Energetic towards career goals.|Career-oriented and Can work under pressure.|Good command of Microsoft Excel. ,,"Maintaining Employee attendance & leave management on daily basis.|Personal file management.|Conduct onboarding training sessions for new hires.|Responsible for Training arrangement and Evaluation.|New recruited employees joining formalities & day long orientation Program.|Employee's salary account banking formalities.|Observe employee behavior to identify areas of improvement.|Ensure HR survey, action plan, follow through across organization.|Preparing all kinds of Office Notices, Notes & Letters.|Facilitate the process of the end year performance assessment.|Conducting employee induction program.|Prepared to work in different shifts including Night Shift|Any other task assigned by the management from time to time.",Full-time,,Mobile bill,,Executive - Human Resources,None,Bachelor of Business Administration (BBA) in HRM
,,Gentle Park,1 to 2 year(s),Age 20 to 30 years |Only females are allowed to apply|Looking smart & Sound health.|Dedicated to job responsibilities.|Understanding of Organizational ethics.,"Welcome to all (visitors) and Clients & provides according to visitors queries and requirements.|Answer all incoming phone calls, keep notes and transfer to concern person/ Department if required.|Receive all incoming letters, parcel and send to concern person on time.|Execute daily PABX services.|Maintaining Daily In and Out time.|Other duties as and when assigned by the management.|Working Hour 10 AM To 7 PM 6 days in a week.",,None,,"Daily Tiffin allowance, Leave encasement, Festival Bonus and others as per company policy.",,Executive (Front Desk),01,Graduation
Age 33 to 38 years |Both males and females are allowed to apply|Person with disability are encouraged to apply,"Mobile bill, Provident fund|Lunch Facilities: Partially Subsidize|Salary Review: Yearly|Festival Bonus: 2",Novelty Infrastructures Limited,Master of Business Management (MBM) in HRM|MBA and PGD IN HRM,8 to 12 year(s)|The applicants should have experience in the following area(s):|HRM,,"Set objectives for the HR team and track progress.|Design and implement company policies that promote a healthy work environment.|Garner a well-motivated team to meet the objectives of the organization.|Develop compensation and benefits plans.|Support and suggest improvements to the entire recruitment process|To be able to remain flexible and informed in the face of changing HR landscape and industry demands.|Bring a road map to long-term activities budgeting, manpower planning and recruitment.|Engage talent towards specialized and niche skills to enhance the skill strength and offerings of the company.|Nurture good talent through the innovative and value-oriented approach.|Benchmarking salary standards to that of the industry.|Revise policies by being sensitive and aligning to the changing times.|Incorporating changes and reinvent on the SOP.|Having the employee handbook updated and handy at all times for reference.|Creating an effective job description to attract the right applicants.|Maintaining an archival of employee records for future reference.|Orient the employees towards the goals of the organization.|Organizational health surveys for effective growth.|A skill-based specialization of the employee base.|Host in-house recruitment events|Discuss employees' career development paths with managers|Monitor HR metrics (e.g. turnover rates and cost-per-hire)|Review departmental budgets|Organize learning and development programs|Ensure HR staff addresses employees' requests and grievances in a timely manner|Maintain HR procedures that comply with labor regulations",Full-time,Dhaka,None,Bdjobs.com Online Job Posting.,Manager - Human Resources,1,Work at office
,,Renata Limited,,Festival & Annual Bonus |Provident Fund|Gratuity|Group Insurance|Lunch & Transport Facilities|A Good & Healthy Working Environment,"Provide support to general administration that includes daily attendance, leave, safety, and other HR-related affairs.|Forecast, purchase, distribute and replace uniforms for production and other employees. |Prepare monthly reports for updating the renewal of the contract for contractual employees. |Make sure that rejected materials are shredded through proper channels. |Handle day-to-day operations of Effluent treatment Plant and prepare ETP for Environment Ministry visit or External audit.|Invigilate written exams, arrange and coordinate interviews, and act as HR representative in the interviews when required.|Place Purchase Orders through Enterprise Resource Planning Software for HR-related expenses. |Deal with unexpected circumstances.",,None,,None,,"Officer, Human Resources (Hobirbabri Site)",01,Age 22 to 28 years 
,,A Reputed Spinning Mill,At least 2 year(s),"Only males are allowed to apply|Should have related experience in factory HR ,Admin & Compliance arena.|Should be dynamic, sincere, hardworking and result oriented|Should have effective communication skills|Should have excellent computer skills specially in MS Word & MS Excel.|Should have good typing skills both in Bangla & English.",,The selected candidate will be responsible for looking after day to day operational HR &  Admin related issues of Spinning Factory under the guidance of senior officials of the department.|Candidates having minimum 2  years related experience in reputed garments factories/ spinning Mills are only encouraged to apply.,Full-time,,None,,Officer/ Sr. Officer (HR  & Admin),04,Masters in any discipline from a reputed University. Candidates having BBA/ MBA in HRM will get preference
"Age 35 to 45 years |Only males are allowed to apply|8-10 years of operational experience in a Group of Company, NGO or other reputed organization, including minimum 1 year of experience as Head of HR Level. |Self-driven, good communication & leadership skill, innovative attitude and problem solving and decision-making skills with capability to work in teams. 	Must be pro-active, self-motivated, and a good Team Leader. |Must have fluency in written and spoken English |Must have competency in Computer work in English & Bengali (MS Office, Excel, Power Point and Bijoy.","T/A (If applicable on actual), |Lunch Facilities: Partially Subsidize (When visit on project site).|Mobile bill, |Salary Review: Yearly|Festival Bonuses: 2 (As per Organization policy).|Other benefit as per organizational policy if applicable.",HARD GROUP,"Master of Business Administration (MBA) in HRM.|Preferred Professional Certification: PGD in HRM|Training/Trade Course: Fire and safety, Labor Law, QMS and Certification|Skills Required: HR Operations, HR Policy, Performance appraisal, Recruitment, Labor Law, Talent Acquisition.|Educational Qualification may be relaxed for an experienced candidate.",8 to 10 year(s),,"Monitoring HR related policies and procedures.|Work closely, Coordinate, and manage multi-year strategic planning of the company.|Monitoring of business plan. HR Policy, manual, strategy, company budget, accounting & costing. |Job analysis, manpower planning, recruitment, selection, induction, maintain employee personal files.|Prepare the Job Description (JD), Identify of TNA & conduct the training.|Prepare the various types of policy & SOP (Standard Operating Procedure). |Performance appraisal & evaluation, promotion letter & increment of employees.|Ensure to prepare Salary, wages, compensation & benefits, welfare activates. |Follow-up attendance, leave & absenteeism. |Talent management, career development, succession & retention planning.|Managing of employee relations, conflict resolution, counseling and grievance handling.|Handle of legal & disciplinary matter & activities, i.e. warning, termination, dismissal, final settlement, grievance handling as per the law. |Prepare necessary presentation materials for meetings and seminar as project required. |Capable of taking right decisions to make the business profitable. |Create a better and healthy environment within the organization for work. |Regularly visit Projects/ Branches/Field Offices to ensure proper monitoring and guideline.|Develop and oversee implementation of organization's external branding, public relations, and related external communication strategy, in alignment with organizations strategic goals and priorities.|Must be flexible and enthusiastic person by nature with ability to work for long hour. |Capable to handle stress & work under pressure. |Able to take challenges with problem solving attitude.|Monitoring of front desk, peon, driver, proper dress code or uniform, dispatch/receive of all mail.|Lease agreement, protocols, and entertainment of guests. |Ensure to update all NOC, licenses & certifications of factory.|Ensuring healthy workplace maintaining efficient operation of housekeeping, general cleanliness, security, safety, health, hygiene & environment and conduct all type of investigation.|Establish and maintain liaison with relevant government bodies, private partners, and other stakeholders of the project.|Ensure the COC, policies and practice in the organization. |To implement corrective action plan (CAP) as per findings/observations/recommendation.|Security & safety strategy, policy and procedures, intelligence & legal compliance.|Any other task assigned by Management.",Full-time,Dhaka,None,Bdjobs.com Online Job Posting.,Head of HR,01,Work at office
,,Sewtech Fashions Limited,"5 to 7 years of relevant experience is required for this position.|The applicants should have experience in the following area(s): Core HR Knowledge, Recruitment & Selection, Payroll Management, Bangladesh EPZ Labor Act, Performance Appraisal, Administrative Compliance.|Excellent working proficiency in MS-Excel and workable knowledge in PowerPoint.|Should be elegant, energetic & have a pleasant personality.|Decision making ability.|Excellent interpersonal skills, dynamic, self-motivated.|Excellent communication skills both in English & Bangla",,"Oversee and ensure Manpower Planning, Recruitment, Performance Management, Training & Development, Leave Management, Labor Laws, Payroll Management of the organization.|Develop the strategy of recruitment and retention of potential employees.|Develop and implement HR strategies, implement HR Plan, policies, initiatives, Code of Conduct of the company with the overall business strategy.|Develop and implement HR programs that support business objectives including competitive compensation and benefit programs, regulatory compliance programs, organizational development programs, payroll administration and employee record management.|Administer the payroll management, establish company wages and salary structure, pay policies, and oversees the variable pay systems within the company.|Conduct training need analysis and ensure proper training plan for right candidates and after training performance will be evaluated and design, implement and review training programs to meet specific department needs.|Ensure implementation of Bangladesh EPZ Labor Act, handle the disciplinary action process.|Oversee and manage KPI based performance appraisal system that drives high performance.|Improve the existing process and functions & facilities of the company to ensure efficiency of resources and maximize the return.|Administer the employee separation process for all management & non-management employees during dismiss, discharge, termination etc.|Oversee, monitor & control overall administrative works includes office support, general site/office maintenance, ensure hygiene and safety within office premises.|Responsible to organize all events or occasions of the company as per management requirements.",,None,Bdjobs.com Online Job Posting.,None,,Asst. Manager/ Deputy Manager - HR,Not specific,5 to 7 year(s)
Deserving candidate will get attractive compensation package.|Benefits: As per Company policy.,,Alim Knit (BD) Ltd. a Concern of Mondol Group,,,"Assist the whole recruitment and selection process for both worker and staff starting to end.|Drafting various notices, policy, disciplinary matters etc as guided by Manager-HRD and Management. |Maintain, update and develop HR software.   |Has to perform day to day HR operations as well as periodical and special assignments.  |Keeping, monitoring & updating HR related all the files, records & documents and submit to the auditors during social audit. |Monitoring payroll and other benefit issues for staffs and workers.",,None,Bdjobs.com Online Job Posting.,None,,Officer - HRD,Not specific,"Age at most 28 years |Both males and females are allowed to apply|Fresh or experienced both can apply.|The applicant should be self-motivated and carrier driven. |The incumbent is desired to stay close to the job location, Kashimpur, Gazipur."
,,Maslow Bangladesh Limited,2 to 4 year(s)|The applicants should have experience in the following area(s):|Training & Development,Age 24 to 35 years |Both males and females are allowed to apply|Fluency in speaking and writing English.|Female are encouraged to apply,"Expected job responsibilities are but not limiting to:|Planning certain parts of the project, monitoring its progress, coordinating meetings and overseeing other members of the project team.|The primary function of a project coordinator is to make sure projects run smoothly.|Designing and controlling the project schedule.|Liaising with clients to determine the project's objectives.|Ensuring deadlines are met.|Making sure that your team has the tools they need to execute the project.|Work autonomously, making decisions without too much managerial oversight.|Know the concepts related to the management of a project.",,None,,"Mobile bill, Performance bonus",,Coordinator,4,Bachelor degree in any discipline|Candidates from English medium background will get preference.
,,MAS Intimates Bangladesh (Pvt.) Ltd.,Both males and females are allowed to apply|Shall be comfortable to do shifting duty rotating weekly.(Morning Shift 6:00 AM to 2:00 PM & Evening Shift 2:00 PM to 10:00 PM),,Plan and execute the training needs identification process for cluster through competency assessments by liaising with the heads of departments/HR business partners| Plan fulfilment through design coordination and implementation of development programs and initiatives to meet the development requirements identified for employees across the organization. |Update and maintain Learning & Development related records in the system/manual reports and cluster calendar for management information whilst delivering monthly dashboards to drive process|Maintain a comprehensive trainer pool internally and externally to meet organization training needs. Continually enhance trainer pool capabilities through train the trainer programmes to deliver best in class training facilitators to the organization.| Continuously improve training processes through pre and post evaluations of all|trainings and detailed analysis for feedback and management decision making.|Coordinate with internal finance and service providers in seamlessly processing all training related payments on time|Add additional value by going beyond day to day responsibilities by delivering on identified projects by internal management,,None,,None,,Assistant - HR,1,At least 1 year(s)|Freshers are also encouraged to apply.
,,A Renowned Jute Mill (Rajshahi),At least 3 year(s),Age at least 25 years |Only males are allowed to apply,,,None,,Mobile bill,,Sr. Executive/ Asst. Manager - Admin & HR (for Jute Mill),Not specific,Bachelor degree in any discipline|Skills Required: Good Computer Knowledge
"Age 25 to 45 years |Candidates who fulfil all/many of the following requirements will be given preference:| Bachelor's degree (preferably in Education)|Past teaching experience of minimum 1 year|Be proficient with the Grade-5 National Curriculum| Strong communication skills in both English and Bangla|Be proficient in using MS Office applications and doing research work on the Internet|Past administrative experience|Skilled in drawing, painting, music| Designing educational games, sports, craft activities, etc| Willing to travel both in and out of Dhaka for training/ conferences purpose|Preference may be given to candidates who are currently residing in or near the Bashundhara residential area/ Vhatara/ Badda, with a strong desire to act for the underprivileged children of Bangladesh|Work Requirements|Reporting to: Assistant Head Teacher|Conduct Class 4 and 5 lessons, as per requirement| 6 days a week (Saturday - Thursday)| Timing: 8:00 am - 4:00 pm|Minimum 2-years teaching contract",Festival Bonus: 2|On-going professional development training|Certificate training from external organizations|Salary: standard salary packages that Foundation schools offer,Abinta Kabir Foundation,Bachelor degree in any discipline|Bachelor's degree (preferably in Education),"2 to 3 year(s)|The applicants should have experience in the following area(s):|Education Counseling, Teaching Experience","Teachers at Abinta Kabir Foundation School are responsible for the academic excellence and the life-skills growth of a set of 16 students. They are expected to build close relationships with each child and to nurture that bond to bring out each other`s full potential. A strong sense of dedication and determination to work for underprivileged children is a quality that must be internally instilled in all teachers.|Performance Indicators of Teachers include, but not limited to:|Teaching proficiency (ability to plan and execute activity-based lessons, classroom management expertise, etc)|Student outcomes (in academic progression, improvement in attendance, behavioral advancement, etc)","Communication Skills: be able to speak clearly to students, other teachers, parents and administration officials.|Instruction Skills: explain new ideas and unfamiliar concepts with authority and in a clear and concise way so that students can understand. You must work to keep the students' attention.|Writing Skills: write daily lesson plans, report cards, notes home and assignments.|Adaptive Skills: The students you will work with are from a different background and they face a completely different lifestyle at home and their teacher must deal with them patiently and adapt accordingly to be a mentor|Creativity: Along with designing teaching-learning materials, such as posters and worksheets, teachers have to find ways to involve students in their lessons in creative ways.|Multitasking and time-management skills: be able to prioritize work and complete all assignments on time",Full-time,Dhaka,None,Bdjobs.com Online Job Posting.,Teacher (for Class Four & Five),1,Work at office
